,Model_Number,Cell Labels_Names,Precision,Recall,F1,Support,Weight_Sum_F1,
0,Model_1,Bone_Cell,0.843283582,0.8828125,0.86259542,128,,0.897617153
1,Model_1,Growth_Plate_Chondrocytes,0.923295455,0.947521866,0.935251799,343,,
2,Model_1,Lymphocytes,0.814814815,0.835443038,0.825,79,,
3,Model_1,Synovial_Fat_Cells,0.96875,0.939393939,0.953846154,33,,
4,Model_1,Synovial_Fibroblasts,1,0.83625731,0.910828025,171,,
5,Model_1,Synovial_Lining_Cells,0.959770115,1,0.979472141,167,,
6,Model_1,Synovial_Vessel_Cells,0.740740741,0.909090909,0.816326531,22,,
0,Model_2,Bone_Cell,0.8875,0.902542373,0.894957983,236,,0.846191791
1,Model_2,Growth_Plate_Chondrocytes,0.825503356,0.973614776,0.89346247,379,,
2,Model_2,Lymphocytes,0.921052632,0.384615385,0.542635659,91,,
3,Model_2,Synovial_Fat_Cells,0.863636364,0.826086957,0.844444444,46,,
4,Model_2,Synovial_Fibroblasts,0.913043478,1,0.954545455,21,,
5,Model_2,Synovial_Lining_Cells,0.95,0.873563218,0.910179641,87,,
6,Model_2,Synovial_Vessel_Cells,0.957746479,0.819277108,0.883116883,83,,
0,Model_3,Bone_Cell,0.734693878,0.883435583,0.802228412,163,,0.815146993
1,Model_3,Growth_Plate_Chondrocytes,0.833333333,0.875,0.853658537,280,,
2,Model_3,Lymphocytes,0.885714286,0.329787234,0.480620155,94,,
3,Model_3,Synovial_Fat_Cells,0.875816993,0.97810219,0.924137931,137,,
4,Model_3,Synovial_Fibroblasts,0.838461538,0.973214286,0.900826446,112,,
5,Model_3,Synovial_Lining_Cells,0.986486486,0.75257732,0.85380117,97,,
6,Model_3,Synovial_Vessel_Cells,0.883333333,0.898305085,0.890756303,59,,
0,Model_4,Bone_Cell,0.846153846,0.7734375,0.808163265,128,,0.878776756
1,Model_4,Growth_Plate_Chondrocytes,0.840116279,0.938311688,0.886503067,308,,
2,Model_4,Lymphocytes,0.62962963,0.739130435,0.68,23,,
3,Model_4,Synovial_Fat_Cells,0.990196078,0.948356808,0.96882494,213,,
4,Model_4,Synovial_Fibroblasts,0.978021978,0.978021978,0.978021978,91,,
5,Model_4,Synovial_Lining_Cells,0.964285714,0.801980198,0.875675676,101,,
6,Model_4,Synovial_Vessel_Cells,0.973333333,0.935897436,0.954248366,78,,
0,Model_5,Bone_Cell,0.714285714,0.79787234,0.753768844,94,,0.885641089
1,Model_5,Growth_Plate_Chondrocytes,0.891752577,0.947945205,0.918990704,365,,
2,Model_5,Lymphocytes,0.965517241,0.615384615,0.751677852,91,,
3,Model_5,Synovial_Fat_Cells,1,1,1,38,,
4,Model_5,Synovial_Fibroblasts,0.888,1,0.940677966,111,,
5,Model_5,Synovial_Lining_Cells,0.969135802,0.907514451,0.937313433,173,,
6,Model_5,Synovial_Vessel_Cells,0.924242424,0.871428571,0.897058824,70,,
,,,Avg,SD,,,,
,,Bone_Cell,0.824342785,0.049358431,,,,
,,Growth_Plate_Chondrocytes,0.897573315,0.028093878,,,,
,,Lymphocytes,0.655986733,0.12798501,,,,
,,Synovial_Fat_Cells,0.938250694,0.052895675,,,,
,,Synovial_Fibroblasts,0.936979974,0.02827603,,,,
,,Synovial_Lining_Cells,0.911288412,0.044498544,,,,
,,Synovial_Vessel_Cells,0.888301381,0.043906679,,,,
