,Model_Number,Cell Labels,Precision,Recall,F1,Support,Weighted,Weight Sum F1
0,Model_1,Stromal/Connective,0.778688525,0.863636364,0.818965517,110,0.154257204,0.865304597
1,Model_1,Fibroblasts,0.931034483,0.710526316,0.805970149,38,0.052443263,
2,Model_1,Macrophages/Histocytes,0.972222222,0.921052632,0.945945946,38,0.061551277,
3,Model_1,Synovial Lining Cell,1,0.919354839,0.957983193,62,0.101703695,
4,Model_1,Vascular Endothelial Cell,0.861702128,0.835051546,0.848167539,97,0.140877143,
5,Model_1,Plasma Cell,0.892857143,0.704225352,0.787401575,71,0.095728616,
6,Model_1,Lymphocytes,0.847368421,0.958333333,0.899441341,168,0.258743399,
7,Model_1,,,,,,,
8,Model_1,,,,,,,
9,Model_1,,,,,,,
0,Model_2,Stromal/Connective,0.786324786,0.773109244,0.779661017,119,0.158869283,0.843692837
1,Model_2,Fibroblasts,0.794117647,0.72972973,0.76056338,37,0.048186379,
2,Model_2,Macrophages/Histocytes,0.914893617,0.843137255,0.87755102,51,0.076635449,
3,Model_2,Synovial Lining Cell,0.946428571,0.946428571,0.946428571,56,0.090753425,
4,Model_2,Vascular Endothelial Cell,0.741935484,0.841463415,0.788571429,82,0.11072407,
5,Model_2,Plasma Cell,0.888888889,0.738461538,0.806722689,65,0.08978934,
6,Model_2,Lymphocytes,0.879781421,0.925287356,0.901960784,174,0.268734891,
7,Model_2,,,,,,,
8,Model_2,,,,,,,
9,Model_2,,,,,,,
0,Model_3,Stromal/Connective,0.751879699,0.769230769,0.760456274,130,0.16927965,0.84302954
1,Model_3,Fibroblasts,0.827586207,0.648648649,0.727272727,37,0.04607721,
2,Model_3,Macrophages/Histocytes,0.783783784,0.852941176,0.816901408,34,0.047559329,
3,Model_3,Synovial Lining Cell,0.935483871,0.878787879,0.90625,66,0.102418664,
4,Model_3,Vascular Endothelial Cell,0.847619048,0.847619048,0.847619048,105,0.15239726,
5,Model_3,Plasma Cell,0.836734694,0.773584906,0.803921569,53,0.072958636,
6,Model_3,Lymphocytes,0.899408284,0.955974843,0.926829268,159,0.252338791,
7,Model_3,,,,,,,
8,Model_3,,,,,,,
9,Model_3,,,,,,,
0,Model_4,Stromal/Connective,0.801724138,0.82300885,0.812227074,113,0.157160376,0.85717862
1,Model_4,Fibroblasts,0.820512821,0.761904762,0.790123457,42,0.056823947,
2,Model_4,Macrophages/Histocytes,0.875,0.897435897,0.886075949,39,0.05917288,
3,Model_4,Synovial Lining Cell,0.933333333,0.835820896,0.881889764,67,0.101175709,
4,Model_4,Vascular Endothelial Cell,0.834951456,0.895833333,0.864321608,96,0.142080264,
5,Model_4,Plasma Cell,0.897959184,0.745762712,0.814814815,59,0.08231862,
6,Model_4,Lymphocytes,0.880681818,0.928143713,0.903790087,167,0.258446823,
7,Model_4,,,,,,,
8,Model_4,,,,,,,
9,Model_4,,,,,,,
0,Model_5,Stromal/Connective,0.859504132,0.832,0.845528455,125,0.180977837,0.877528521
1,Model_5,Fibroblasts,0.967741935,0.857142857,0.909090909,35,0.054483188,
2,Model_5,Macrophages/Histocytes,0.923076923,0.923076923,0.923076923,39,0.061643836,
3,Model_5,Synovial Lining Cell,0.898305085,0.913793103,0.905982906,58,0.089977754,
4,Model_5,Vascular Endothelial Cell,0.866071429,0.91509434,0.889908257,106,0.161524444,
5,Model_5,Plasma Cell,0.884615385,0.741935484,0.807017544,62,0.08567652,
6,Model_5,Lymphocytes,0.869822485,0.930379747,0.899082569,158,0.243244942,
7,Model_5,,,,,,,
8,Model_5,,,,Avg F1,SD F1,,
9,Model_5,,,Stromal/Connective,0.803367667,0.030009022,Weight avg F1,0.857346823
,,,,Fibroblasts,0.798604125,0.061430898,Weight SD F1,0.013130661
,,,,Macrophages/Histocytes,0.889910249,0.044131102,,
,,,,Synovial Lining Cell,0.919706887,0.028208844,,
,,,,Vascular Endothelial Cell,0.847717576,0.033329346,,
,,,,Plasma Cell,0.803975638,0.009044222,,
,,,,Lymphocytes,0.90622081,0.010446822,,
